x	AA	KK	QQ	JJ	TT	AKs	99	AQs	AKo	AJs	KQs	88	ATs	AQo	KJs	KTs	QJs	AJo	KQo	QTs	A9s	77	ATo	JTs	KJo
AA	0,500000	0,180539	0,184529	0,188519	0,192509	0,121405	0,191394	0,125391	0,068281	0,129377	0,170643	0,195383	0,133363	0,072638	0,174686	0,178730	0,191124	0,076995	0,128802	0,195167	0,115677	0,195192	0,081352	0,211605	0,133177
KK	0,819461	0,500000	0,180652	0,184642	0,188632	0,341064	0,191834	0,318455	0,301195	0,322075	0,138681	0,191288	0,325694	0,282108	0,142667	0,146652	0,177036	0,286054	0,086990	0,181079	0,319518	0,195274	0,290000	0,197517	0,091347
QQ	0,815471	0,819348	0,500000	0,180335	0,184325	0,460485	0,188097	0,342749	0,432423	0,319749	0,353386	0,191299	0,323368	0,303014	0,320843	0,324463	0,158272	0,283503	0,314642	0,162258	0,317192	0,190750	0,287449	0,183301	0,284594
JJ	0,811481	0,815358	0,819665	0,500000	0,180144	0,459612	0,183917	0,458845	0,431491	0,345064	0,463302	0,187688	0,321736	0,430770	0,355702	0,322831	0,369893	0,305507	0,435356	0,327520	0,315560	0,190887	0,285634	0,178170	0,317134
TT	0,807491	0,811368	0,815675	0,819856	0,500000	0,459370	0,179988	0,458603	0,431232	0,457836	0,463060	0,183760	0,348011	0,430511	0,462293	0,358570	0,469933	0,429790	0,435096	0,372761	0,314622	0,187529	0,308672	0,386921	0,434375
AKs	0,878595	0,658936	0,539515	0,540388	0,540630	0,500000	0,525780	0,287228	0,475079	0,289899	0,285714	0,524759	0,292570	0,245537	0,288385	0,291056	0,364719	0,248520	0,244087	0,367769	0,288066	0,523103	0,251503	0,379922	0,247069
99	0,808606	0,808166	0,811903	0,816083	0,820012	0,474220	0,500000	0,473029	0,447288	0,472261	0,474426	0,180639	0,471494	0,446138	0,473659	0,472891	0,480887	0,445417	0,447535	0,480120	0,336003	0,184408	0,444696	0,487729	0,446814
AQs	0,874609	0,681545	0,657251	0,541155	0,541397	0,712772	0,526971	0,500000	0,701230	0,291851	0,285824	0,525951	0,294522	0,475079	0,382317	0,385367	0,300283	0,250421	0,244188	0,302954	0,293375	0,518928	0,253404	0,377976	0,353301
AKo	0,931719	0,698805	0,567577	0,568509	0,568768	0,524921	0,552712	0,298770	0,500000	0,301711	0,295766	0,551615	0,304652	0,256061	0,298714	0,301663	0,389298	0,259334	0,252261	0,392522	0,300427	0,549839	0,262606	0,405139	0,255533
AJs	0,870623	0,677925	0,680251	0,654936	0,542164	0,710101	0,527739	0,708149	0,698289	0,500000	0,410299	0,526718	0,301284	0,696616	0,287275	0,382224	0,301038	0,475079	0,381891	0,393525	0,299373	0,520120	0,260557	0,314852	0,245778
KQs	0,829357	0,861319	0,646614	0,536698	0,536940	0,714286	0,525574	0,714176	0,704234	0,589701	0,500000	0,512821	0,590518	0,704124	0,291475	0,294227	0,291596	0,563233	0,475079	0,294347	0,574553	0,511284	0,564124	0,366624	0,250391
88	0,804617	0,808712	0,808701	0,812312	0,816240	0,475241	0,819361	0,474049	0,448385	0,473282	0,487179	0,500000	0,472515	0,447223	0,485987	0,485220	0,490528	0,446502	0,461298	0,489761	0,456997	0,181794	0,445781	0,496919	0,460148
ATs	0,866637	0,674306	0,676632	0,678264	0,651989	0,707430	0,528506	0,705478	0,695348	0,698716	0,409482	0,527485	0,500000	0,693676	0,409903	0,288726	0,419456	0,686751	0,381053	0,302489	0,308487	0,520887	0,475079	0,316251	0,381617
AQo	0,927362	0,717892	0,696986	0,569230	0,569489	0,754463	0,553862	0,524921	0,743939	0,303384	0,295876	0,552777	0,306324	0,500000	0,408182	0,411400	0,311547	0,260948	0,254822	0,314495	0,305764	0,545320	0,264221	0,402750	0,371184
KJs	0,825314	0,857333	0,679157	0,644298	0,537707	0,711615	0,526341	0,617683	0,701286	0,712725	0,708525	0,514013	0,590097	0,591818	0,500000	0,300948	0,292351	0,702542	0,697482	0,384132	0,574132	0,512475	0,563785	0,306245	0,475079
KTs	0,821270	0,853348	0,675537	0,677169	0,641430	0,708944	0,527109	0,614633	0,698337	0,617776	0,705773	0,514780	0,711274	0,588600	0,699052	0,500000	0,412113	0,592059	0,694459	0,293802	0,573770	0,513243	0,700961	0,307564	0,687575
QJs	0,808876	0,822964	0,841728	0,630107	0,530067	0,635281	0,519113	0,699717	0,610702	0,698962	0,708404	0,509472	0,580544	0,688453	0,707649	0,587887	0,500000	0,687680	0,698652	0,302023	0,564579	0,496242	0,553997	0,296996	0,697878
AJo	0,923005	0,713946	0,716497	0,694493	0,570210	0,751480	0,554583	0,749579	0,740666	0,524921	0,436767	0,553498	0,313249	0,739052	0,297458	0,407941	0,312320	0,500000	0,402382	0,419526	0,311858	0,546482	0,271540	0,327327	0,256540
KQo	0,871198	0,913010	0,685358	0,564644	0,564904	0,755913	0,552465	0,755812	0,747739	0,618109	0,524921	0,538702	0,618947	0,745178	0,302518	0,305541	0,301348	0,597618	0,500000	0,304380	0,602540	0,537055	0,598555	0,390789	0,260403
QTs	0,804833	0,818921	0,837742	0,672480	0,627239	0,632231	0,519880	0,697046	0,607478	0,606475	0,705653	0,510239	0,697511	0,685505	0,615868	0,706198	0,697977	0,580474	0,695620	0,500000	0,564217	0,497433	0,686098	0,298315	0,590420
A9s	0,884323	0,680482	0,682808	0,684440	0,685378	0,711934	0,663997	0,706625	0,699573	0,700627	0,425447	0,543003	0,691513	0,694236	0,425868	0,426230	0,435421	0,688142	0,397460	0,435783	0,500000	0,536405	0,678647	0,445277	0,398024
77	0,804808	0,804726	0,809250	0,809113	0,812471	0,476897	0,815592	0,481072	0,450161	0,479880	0,488716	0,818206	0,479113	0,454680	0,487525	0,486757	0,503758	0,453518	0,462945	0,502567	0,463595	0,500000	0,452796	0,506998	0,461782
ATo	0,918648	0,710000	0,712551	0,714366	0,691328	0,748497	0,555304	0,746596	0,737394	0,739443	0,435876	0,554219	0,524921	0,735779	0,436215	0,299039	0,446003	0,728460	0,401445	0,313902	0,321353	0,547204	0,500000	0,328764	0,401936
JTs	0,788395	0,802483	0,816699	0,821830	0,613079	0,620078	0,512271	0,622024	0,594861	0,685148	0,633376	0,503081	0,683749	0,597250	0,693755	0,692436	0,703004	0,672673	0,609211	0,701685	0,554723	0,493002	0,671236	0,500000	0,682788
KJo	0,866823	0,908653	0,715406	0,682866	0,565625	0,752931	0,553186	0,646699	0,744467	0,754222	0,749609	0,539852	0,618383	0,628816	0,524921	0,312425	0,302122	0,743460	0,739597	0,409580	0,601976	0,538218	0,598064	0,317212	0,500000
A8s	0,880337	0,680703	0,679614	0,680725	0,681663	0,709430	0,675873	0,704081	0,696818	0,698043	0,430949	0,659471	0,688888	0,691440	0,430986	0,431348	0,438070	0,685305	0,403025	0,438432	0,667049	0,537172	0,675768	0,447542	0,403195
K9s	0,827270	0,871033	0,681714	0,683346	0,684324	0,727256	0,653714	0,626513	0,717536	0,629656	0,706811	0,530338	0,632799	0,600721	0,700894	0,691889	0,428078	0,604180	0,694904	0,428440	0,711044	0,528800	0,607638	0,437934	0,688893
QJo	0,849290	0,864378	0,891795	0,667348	0,557559	0,664448	0,545548	0,739977	0,648337	0,739222	0,749237	0,535016	0,608176	0,730599	0,748481	0,615704	0,524921	0,727370	0,741367	0,313133	0,591770	0,520746	0,587491	0,306399	0,738139
A7s	0,880344	0,677084	0,681186	0,679402	0,679820	0,706956	0,674029	0,705273	0,694087	0,696293	0,430133	0,673578	0,686811	0,692599	0,430170	0,430532	0,445551	0,683259	0,402193	0,445529	0,665250	0,655792	0,673363	0,452554	0,402364
KTo	0,862448	0,904296	0,711460	0,713276	0,679784	0,749948	0,553907	0,643436	0,741194	0,646663	0,746545	0,540573	0,752632	0,625295	0,739433	0,524921	0,438164	0,628939	0,736241	0,303704	0,601472	0,538939	0,741742	0,318566	0,728964
Q9s	0,810832	0,821969	0,855389	0,678657	0,679674	0,644504	0,639680	0,715358	0,619997	0,618355	0,710056	0,525836	0,621498	0,704704	0,627668	0,630811	0,699738	0,592595	0,699730	0,690774	0,697282	0,513031	0,596053	0,429891	0,602460
A5s	0,866931	0,666618	0,667093	0,666875	0,669589	0,698170	0,660383	0,693082	0,684583	0,684404	0,425270	0,659411	0,675646	0,679400	0,428320	0,432131	0,439869	0,670296	0,397229	0,443679	0,650815	0,657710	0,661086	0,455169	0,400493
66	0,804575	0,804922	0,805270	0,809668	0,809279	0,476941	0,811829	0,480153	0,450114	0,484328	0,490854	0,814444	0,483136	0,453622	0,495029	0,493838	0,505738	0,458141	0,465230	0,504547	0,467618	0,816421	0,456979	0,520631	0,469750
A6s	0,882321	0,680718	0,681193	0,684601	0,682124	0,709286	0,675812	0,704239	0,696574	0,698926	0,430136	0,675361	0,686500	0,691432	0,434006	0,433984	0,445555	0,685982	0,402197	0,445533	0,664612	0,673660	0,672881	0,460855	0,406302
QTo	0,844915	0,860003	0,887439	0,708275	0,664267	0,661185	0,546270	0,736995	0,644816	0,634659	0,746173	0,535738	0,737632	0,727326	0,644295	0,746891	0,737873	0,616503	0,738011	0,524921	0,591265	0,521897	0,725652	0,307753	0,626800
J9s	0,794395	0,805531	0,819336	0,839397	0,675055	0,632350	0,625599	0,633994	0,607380	0,703460	0,643216	0,518718	0,610198	0,609458	0,698158	0,619511	0,704006	0,691872	0,619231	0,629574	0,683577	0,508639	0,584468	0,689698	0,686898
