A8s	K9s	QJo	A7s	KTo	Q9s	A5s	66	A6s	QTo	J9s	A9o	T9s	A4s	K8s	JTo	K7s	A8o	A3s	Q8s	K9o	A2s	K6s	J8s	T8s	A7o
0,119663	0,172730	0,150710	0,119656	0,137552	0,189168	0,133069	0,195425	0,117679	0,155085	0,205605	0,062182	0,222042	0,129069	0,160827	0,172618	0,164870	0,066539	0,125069	0,177264	0,131299	0,121070	0,164991	0,193701	0,210139	0,066530
0,319297	0,128967	0,135622	0,322916	0,095704	0,178031	0,333382	0,195078	0,319282	0,139997	0,194469	0,283580	0,210906	0,329749	0,115790	0,157530	0,119776	0,283328	0,326115	0,174142	0,076551	0,322481	0,119769	0,190579	0,207016	0,287272
0,320386	0,318286	0,108205	0,318814	0,288540	0,144611	0,332907	0,194730	0,318807	0,112561	0,180664	0,281029	0,197102	0,329273	0,314220	0,142301	0,313998	0,284512	0,325640	0,131435	0,282120	0,322006	0,317618	0,179314	0,195751	0,282814
0,319275	0,316654	0,332652	0,320598	0,286724	0,321343	0,333125	0,190332	0,315399	0,291725	0,160603	0,279214	0,183004	0,329492	0,312588	0,129745	0,315782	0,283267	0,325858	0,317277	0,280305	0,322224	0,314210	0,147466	0,182065	0,284734
0,318337	0,315676	0,442441	0,320180	0,320216	0,320326	0,330411	0,190721	0,317876	0,335733	0,324945	0,278135	0,176902	0,330404	0,311610	0,351219	0,315325	0,282187	0,326770	0,316260	0,279183	0,323137	0,316647	0,320878	0,163844	0,284224
0,290570	0,272744	0,335552	0,293044	0,250052	0,355496	0,301830	0,523059	0,290714	0,338815	0,367650	0,246140	0,379803	0,297570	0,275161	0,351609	0,277520	0,248950	0,293280	0,347169	0,229711	0,288961	0,276918	0,359323	0,371476	0,251729
0,324127	0,346286	0,454452	0,325971	0,446093	0,360320	0,339617	0,188171	0,324188	0,453730	0,374401	0,295489	0,388451	0,334418	0,317308	0,461765	0,321024	0,288236	0,334411	0,321879	0,306721	0,330777	0,322867	0,326419	0,330927	0,290273
0,295919	0,373487	0,260023	0,294727	0,356564	0,284642	0,306918	0,519847	0,295761	0,263005	0,366006	0,251713	0,378159	0,302697	0,365161	0,349699	0,366908	0,254565	0,298448	0,287059	0,344035	0,294169	0,370541	0,357679	0,369832	0,253220
0,303182	0,282464	0,351663	0,305913	0,258806	0,380003	0,315417	0,549886	0,303426	0,355184	0,392620	0,257585	0,405237	0,310828	0,285093	0,368784	0,287707	0,260674	0,306208	0,371555	0,237587	0,301556	0,287110	0,384172	0,396789	0,263727
0,301957	0,370344	0,260778	0,303707	0,353337	0,381645	0,315596	0,515672	0,301074	0,365341	0,296540	0,258037	0,376213	0,311415	0,362017	0,275959	0,366871	0,260929	0,307206	0,373318	0,340808	0,302968	0,366671	0,298957	0,367886	0,262798
0,569051	0,293189	0,250763	0,569867	0,253455	0,289944	0,574730	0,509146	0,569864	0,253827	0,356784	0,547312	0,368937	0,573906	0,289501	0,338048	0,292016	0,541188	0,573083	0,275794	0,251876	0,572259	0,294502	0,347607	0,359760	0,542075
0,340529	0,469662	0,464984	0,326422	0,459427	0,474164	0,340589	0,185556	0,324639	0,464262	0,481282	0,429048	0,488781	0,338285	0,338716	0,471826	0,326723	0,300336	0,333086	0,352434	0,442652	0,333079	0,328567	0,366318	0,380249	0,290667
0,311112	0,367201	0,391824	0,313189	0,247368	0,378502	0,324354	0,516864	0,313500	0,262368	0,389802	0,267763	0,308438	0,323538	0,358874	0,277368	0,364216	0,270697	0,319369	0,370175	0,337581	0,315171	0,366634	0,381475	0,310855	0,272924
0,308560	0,399279	0,269401	0,307401	0,374705	0,295296	0,320600	0,546378	0,308568	0,272674	0,390542	0,263182	0,403159	0,316053	0,390824	0,366161	0,392686	0,266318	0,311474	0,297925	0,361800	0,306864	0,396532	0,382094	0,394711	0,265028
0,569014	0,299106	0,251519	0,569830	0,260567	0,372332	0,571680	0,504971	0,565994	0,355705	0,301842	0,546974	0,366991	0,570857	0,298302	0,266781	0,300858	0,541268	0,570033	0,363548	0,258118	0,569209	0,299677	0,287692	0,358116	0,542155
0,568652	0,308111	0,384296	0,569468	0,475079	0,369189	0,567869	0,506162	0,566016	0,253109	0,380489	0,546698	0,313740	0,567866	0,306728	0,268109	0,309324	0,540992	0,567042	0,360405	0,267730	0,566219	0,311086	0,371705	0,299590	0,541880
0,561930	0,571922	0,475079	0,554449	0,561836	0,300262	0,560131	0,494262	0,554445	0,262127	0,295994	0,537185	0,355271	0,559308	0,559414	0,256931	0,553913	0,534128	0,558484	0,299568	0,545024	0,557661	0,554729	0,292377	0,348224	0,525998
