55	Q9o	98s	K5s	Q7s	J9o	A5o	T9o	A6o	K4s	K8o	Q6s	J7s	T7s	A4o	97s	K3s	87s	Q5s	K7o	44	Q8o	A3o	K2s	J8o	Q4s
0,191114	0,148832	0,220598	0,162418	0,164863	0,166365	0,081021	0,183898	0,064382	0,158360	0,118558	0,169035	0,181301	0,197738	0,076639	0,208197	0,154303	0,224634	0,166462	0,122918	0,186715	0,136091	0,072247	0,150245	0,153624	0,162404
0,195155	0,136823	0,217475	0,120020	0,162238	0,154356	0,298477	0,171889	0,283319	0,116020	0,062295	0,166282	0,178675	0,195113	0,294499	0,209411	0,112020	0,220657	0,166535	0,066651	0,190756	0,132837	0,290508	0,108021	0,150370	0,162478
0,194808	0,093451	0,210050	0,317871	0,118258	0,139556	0,297972	0,157089	0,282814	0,314237	0,277966	0,122244	0,175424	0,191862	0,293994	0,206161	0,310604	0,217406	0,122495	0,277712	0,190408	0,079212	0,290003	0,306970	0,138219	0,118496
0,194587	0,285305	0,196885	0,318089	0,313210	0,110719	0,298203	0,141986	0,279092	0,314456	0,276151	0,312989	0,134290	0,180715	0,294224	0,195535	0,310822	0,210099	0,316869	0,279633	0,190187	0,281152	0,290234	0,307189	0,096522	0,313235
0,190441	0,284142	0,183024	0,315336	0,312193	0,289068	0,295216	0,128313	0,281748	0,315329	0,275030	0,315387	0,316811	0,150707	0,295191	0,182086	0,311695	0,197171	0,314076	0,279081	0,190218	0,279988	0,291200	0,308062	0,284915	0,314068
0,519656	0,325876	0,371176	0,272659	0,338110	0,338670	0,261398	0,351464	0,249239	0,268196	0,232432	0,341744	0,350264	0,362417	0,256775	0,374049	0,263675	0,386024	0,338844	0,235092	0,514132	0,317055	0,252106	0,259096	0,329848	0,335433
0,191638	0,322070	0,178302	0,324450	0,317813	0,337472	0,305001	0,352842	0,288367	0,319252	0,280982	0,321528	0,322352	0,326860	0,299333	0,165244	0,319244	0,183793	0,323111	0,285033	0,186880	0,285856	0,299295	0,315611	0,290698	0,317912
0,516445	0,242673	0,381464	0,367642	0,275646	0,337078	0,266615	0,349872	0,254416	0,364230	0,335213	0,278369	0,347198	0,359351	0,262033	0,370983	0,360759	0,382958	0,274110	0,336988	0,510920	0,245394	0,257406	0,357229	0,328257	0,269647
0,546172	0,341863	0,396714	0,282382	0,362085	0,355462	0,274150	0,369062	0,261089	0,277564	0,240579	0,365944	0,374702	0,387320	0,269207	0,399689	0,272684	0,412111	0,362729	0,243508	0,540312	0,332868	0,264221	0,267740	0,346467	0,359119
0,513234	0,352812	0,382623	0,366825	0,364887	0,255626	0,275756	0,347963	0,259870	0,363413	0,331986	0,367395	0,287544	0,357707	0,271215	0,372444	0,359943	0,384420	0,367549	0,337074	0,507709	0,343990	0,266627	0,356413	0,258348	0,364137
0,505177	0,248578	0,371413	0,293871	0,278194	0,327617	0,547252	0,340410	0,542071	0,289651	0,247532	0,280535	0,339221	0,351374	0,546327	0,365799	0,285401	0,367332	0,279731	0,250352	0,499889	0,232910	0,545384	0,281123	0,317987	0,275308
0,189594	0,447446	0,390047	0,330671	0,323381	0,454967	0,305965	0,462886	0,288761	0,328366	0,298373	0,327097	0,327802	0,332192	0,303462	0,332402	0,323168	0,180348	0,329201	0,290983	0,188583	0,313369	0,297782	0,323161	0,328560	0,326896
0,509059	0,349585	0,381166	0,362955	0,361743	0,361588	0,284971	0,268580	0,273209	0,362597	0,328760	0,367357	0,373044	0,299442	0,284116	0,370987	0,359126	0,382962	0,363679	0,334368	0,504498	0,340763	0,279570	0,355596	0,352767	0,363320
0,542663	0,251456	0,407081	0,393317	0,285668	0,353163	0,279473	0,366762	0,266370	0,389714	0,352811	0,288692	0,371432	0,384049	0,274571	0,396419	0,386048	0,408841	0,283964	0,354724	0,536803	0,254455	0,269627	0,382319	0,344174	0,279146
0,501966	0,343258	0,372875	0,302410	0,355162	0,261532	0,544034	0,338501	0,537960	0,298230	0,256926	0,356850	0,290092	0,349730	0,543110	0,367260	0,294021	0,377619	0,359848	0,259787	0,496677	0,334037	0,542167	0,289782	0,245872	0,356437
0,497791	0,340031	0,371417	0,310152	0,352019	0,352035	0,539986	0,274485	0,538102	0,309336	0,265911	0,356813	0,363319	0,301990	0,539956	0,365803	0,305167	0,378779	0,355979	0,268813	0,493466	0,330810	0,539013	0,300969	0,342814	0,355620
0,491453	0,259759	0,365699	0,555301	0,295891	0,255390	0,532068	0,326476	0,525994	0,554477	0,531891	0,298418	0,278211	0,338987	0,531144	0,356463	0,553654	0,366844	0,301151	0,525765	0,486402	0,258679	0,530201	0,552830	0,251130	0,296971
0,539154	0,370592	0,407979	0,392426	0,390391	0,265324	0,289056	0,364140	0,271972	0,388823	0,349167	0,393076	0,298500	0,381971	0,284196	0,397629	0,385157	0,410056	0,393076	0,354668	0,533294	0,361603	0,279293	0,381428	0,268324	0,389473
0,530547	0,257085	0,396431	0,306487	0,288084	0,343049	0,580813	0,356649	0,575452	0,301940	0,258776	0,290676	0,362909	0,375526	0,579851	0,390762	0,297361	0,392570	0,289843	0,261873	0,524940	0,240793	0,578877	0,292751	0,333164	0,285067
0,487278	0,269330	0,364242	0,551490	0,306935	0,341714	0,528020	0,268343	0,526136	0,551486	0,531615	0,309502	0,352879	0,290109	0,527989	0,355308	0,550663	0,368306	0,308568	0,525907	0,483190	0,267582	0,527046	0,549839	0,332575	0,307752
0,525001	0,262115	0,324086	0,377679	0,373361	0,277055	0,311547	0,291936	0,296573	0,373488	0,340632	0,379464	0,384603	0,395785	0,306569	0,312674	0,373071	0,386293	0,378402	0,346241	0,515074	0,352636	0,305709	0,369541	0,364580	0,374212
0,187616	0,461287	0,490026	0,331662	0,345381	0,465965	0,307681	0,473371	0,290477	0,329879	0,431563	0,333297	0,358911	0,372605	0,305748	0,382245	0,327575	0,392370	0,335401	0,303810	0,187175	0,448522	0,303234	0,322376	0,453158	0,333618
0,534635	0,366948	0,406111	0,388321	0,386933	0,379383	0,298740	0,279192	0,285999	0,387933	0,345523	0,392906	0,398518	0,311332	0,297861	0,395760	0,384267	0,408188	0,388971	0,351594	0,529786	0,357959	0,293000	0,380538	0,370394	0,388583
0,476758	0,543625	0,352983	0,540000	0,545094	0,270890	0,516117	0,258832	0,510042	0,539997	0,521890	0,539592	0,308200	0,294616	0,516086	0,345877	0,539173	0,361208	0,540164	0,518830	0,472907	0,530492	0,515143	0,538350	0,269224	0,540160
0,527039	0,360385	0,397640	0,315448	0,380071	0,270954	0,577298	0,354027	0,571003	0,310943	0,268526	0,381869	0,300916	0,373448	0,576337	0,391972	0,306405	0,402937	0,385025	0,271671	0,521431	0,350915	0,575362	0,301836	0,254661	0,381422
0,525769	0,394023	0,327098	0,375847	0,371041	0,403778	0,333927	0,413866	0,318594	0,374274	0,233705	0,376760	0,381899	0,393081	0,332162	0,399883	0,370024	0,324571	0,376187	0,343870	0,516265	0,248706	0,327178	0,369547	0,263646	0,374613
0,513773	0,252856	0,312964	0,333386	0,363637	0,267796	0,557399	0,282736	0,555097	0,328903	0,287174	0,368919	0,374878	0,386119	0,553177	0,315364	0,328099	0,382636	0,370702	0,290116	0,504082	0,342683	0,553128	0,323941	0,354627	0,366511
0,515630	0,270436	0,389920	0,582278	0,308225	0,263569	0,564351	0,341196	0,558056	0,581433	0,564478	0,311000	0,287793	0,362040	0,563389	0,380507	0,580587	0,391496	0,314010	0,557920	0,510275	0,269905	0,562415	0,579742	0,259587	0,309505
0,529751	0,401217	0,438766	0,372705	0,279891	0,408839	0,364081	0,418534	0,349566	0,371619	0,373645	0,377147	0,293596	0,307243	0,362674	0,316651	0,369987	0,330181	0,376574	0,235292	0,520247	0,389351	0,360903	0,365678	0,396973	0,375489
0,522520	0,356740	0,395772	0,323558	0,376613	0,369176	0,572913	0,284822	0,571011	0,322707	0,277842	0,381698	0,388198	0,313748	0,572885	0,390104	0,318211	0,403836	0,380920	0,281029	0,517922	0,347271	0,571911	0,313684	0,359707	0,380532
0,503300	0,475079	0,317774	0,568382	0,326036	0,257977	0,545433	0,272918	0,543131	0,564546	0,548610	0,328643	0,364438	0,375679	0,541211	0,303607	0,564542	0,372217	0,330652	0,542902	0,493845	0,288731	0,541162	0,563719	0,344388	0,326169
0,635349	0,398959	0,444357	0,275664	0,404034	0,411071	0,475044	0,427053	0,545230	0,359965	0,374922	0,406805	0,415524	0,430403	0,419459	0,432989	0,358821	0,441921	0,278979	0,375240	0,520040	0,387093	0,416790	0,357676	0,399206	0,363015
0,186407	0,463389	0,499938	0,333869	0,465235	0,480232	0,309301	0,484752	0,304993	0,332086	0,439089	0,350949	0,480776	0,484939	0,307368	0,487983	0,330303	0,491927	0,336858	0,438364	0,185966	0,450624	0,304854	0,327999	0,467425	0,335075
0,536016	0,401227	0,444214	0,372787	0,406272	0,416874	0,401317	0,424437	0,475064	0,371702	0,377190	0,281765	0,421210	0,428176	0,398831	0,432846	0,370557	0,442162	0,375837	0,377508	0,526513	0,389361	0,396899	0,368970	0,405009	0,374751
0,511111	0,280391	0,388052	0,578232	0,319839	0,358114	0,559966	0,277437	0,558064	0,578228	0,564050	0,322655	0,377101	0,300626	0,559938	0,378950	0,577383	0,392706	0,321775	0,557921	0,506766	0,279138	0,558964	0,576538	0,348734	0,320924
0,492819	0,691433	0,313178	0,556892	0,561573	0,475079	0,533530	0,264596	0,527455	0,553056	0,538885	0,556454	0,327221	0,366417	0,529308	0,309544	0,553052	0,365667	0,557026	0,535825	0,483601	0,547457	0,529259	0,552229	0,290331	0,553190
0,551809	0,274723	0,337954	0,403841	0,399164	0,290750	0,327055	0,306713	0,310831	0,399518	0,358127	0,405658	0,410686	0,422145	0,321833	0,325697	0,399067	0,411461	0,404490	0,364198	0,541278	0,370563	0,320953	0,395338	0,382936	0,400167
0,476964	0,676634	0,306799	0,541629	0,552138	0,685921	0,517499	0,475079	0,520441	0,541625	0,529223	0,549489	0,559460	0,328376	0,517468	0,305867	0,541622	0,355511	0,541763	0,526575	0,473349	0,537795	0,517419	0,540798	0,545635	0,541760
0,663137	0,402897	0,452658	0,395194	0,407487	0,415009	0,527935	0,427062	0,547487	0,274212	0,378466	0,410257	0,418977	0,430407	0,475008	0,440906	0,359644	0,447753	0,398243	0,378784	0,631037	0,390638	0,444479	0,358500	0,402750	0,277528
0,525610	0,396719	0,331167	0,360134	0,372100	0,406867	0,569414	0,416955	0,567112	0,358594	0,475077	0,377382	0,383341	0,394523	0,565610	0,404535	0,354123	0,328410	0,379654	0,318958	0,516343	0,252885	0,561370	0,353329	0,267825	0,378080
0,499692	0,576099	0,376141	0,566119	0,571163	0,281564	0,547082	0,266407	0,540786	0,566116	0,553540	0,565598	0,320745	0,304744	0,547054	0,368917	0,565271	0,385065	0,566169	0,550165	0,495599	0,562448	0,546079	0,564425	0,280394	0,566165
