T8o	J6s	K6o	A2o	T6s	98o	76s	86s	96s	Q3s	J5s	K5o	Q7o	Q2s	J4s	33	65s	J7o	T7o	K4o	75s	T5s	Q6o	J3s	95s	87o
0,171157	0,169028	0,123047	0,067845	0,185465	0,182190	0,224746	0,212361	0,195924	0,158346	0,170505	0,120271	0,122924	0,154289	0,166448	0,182290	0,224988	0,140457	0,157990	0,115864	0,209779	0,170498	0,127422	0,162390	0,180957	0,186555
0,167903	0,166275	0,066640	0,286501	0,182712	0,178948	0,224692	0,208256	0,197011	0,158420	0,170579	0,066910	0,120094	0,154362	0,166521	0,186331	0,224934	0,137627	0,155160	0,062527	0,212551	0,170572	0,124451	0,162464	0,184870	0,182247
0,155752	0,163521	0,281654	0,285996	0,179958	0,170949	0,220586	0,209342	0,194778	0,114496	0,167825	0,281921	0,064955	0,110496	0,163767	0,185984	0,224879	0,134232	0,151765	0,277943	0,208446	0,167818	0,069309	0,159710	0,182638	0,178864
0,141078	0,121113	0,277931	0,286227	0,176825	0,156845	0,217454	0,206209	0,191646	0,309601	0,125357	0,282152	0,276996	0,305968	0,121357	0,185762	0,220892	0,082282	0,139740	0,278174	0,209650	0,165182	0,276739	0,117357	0,180003	0,170992
0,114200	0,312745	0,280545	0,287193	0,137530	0,141994	0,210383	0,195821	0,180736	0,310435	0,312784	0,279123	0,275833	0,306801	0,312777	0,185793	0,217996	0,280760	0,100002	0,279098	0,206754	0,124612	0,279312	0,309143	0,177107	0,157139
0,342642	0,341740	0,234492	0,247385	0,353893	0,341879	0,389415	0,377500	0,365525	0,331962	0,341894	0,230015	0,307576	0,328432	0,338483	0,507939	0,389054	0,320369	0,333163	0,225184	0,377412	0,341891	0,311431	0,335012	0,353523	0,357577
0,295509	0,318286	0,287067	0,295288	0,322794	0,129783	0,197939	0,182854	0,152107	0,317905	0,321740	0,288811	0,281701	0,314271	0,316541	0,186632	0,211409	0,286543	0,291354	0,283143	0,196849	0,318987	0,285749	0,316534	0,139189	0,142808
0,341050	0,338899	0,340849	0,252726	0,351053	0,352855	0,385545	0,377765	0,365790	0,265126	0,339053	0,337876	0,233037	0,260547	0,335642	0,504728	0,388238	0,317219	0,330012	0,334224	0,373542	0,339050	0,236082	0,332171	0,353787	0,354433
0,360066	0,365940	0,242928	0,259188	0,378557	0,359375	0,415706	0,403349	0,390927	0,355447	0,365952	0,238004	0,322683	0,351712	0,362343	0,533755	0,415324	0,336282	0,349881	0,232840	0,403097	0,365949	0,326862	0,358671	0,378318	0,376102
0,339141	0,276496	0,336744	0,261989	0,347986	0,354252	0,382479	0,374699	0,362724	0,360666	0,275562	0,337038	0,335066	0,357136	0,271098	0,501517	0,384368	0,245999	0,328421	0,333386	0,373807	0,336209	0,337619	0,266577	0,351435	0,356147
