85s	97o	T4s	K3o	J2s	54s	Q5o	64s	T3s	22	K2o	74s	76o	T2s	Q4o	J6o	84s	94s	86o	T6o	96o	53s	93s	Q3o	J5o	63s
0,197394	0,169022	0,170491	0,111445	0,158332	0,210936	0,124646	0,208536	0,166434	0,177833	0,107009	0,193327	0,186675	0,162376	0,120239	0,127427	0,180942	0,164506	0,173526	0,144961	0,155993	0,194483	0,164499	0,115819	0,129020	0,192085
0,196116	0,170357	0,170565	0,058136	0,158406	0,225171	0,124719	0,208482	0,166507	0,181874	0,053734	0,196100	0,186608	0,162450	0,120312	0,124457	0,179664	0,168419	0,169077	0,141990	0,157187	0,208718	0,168412	0,115893	0,129094	0,192030
0,197202	0,166962	0,167811	0,273953	0,155652	0,225116	0,069579	0,208427	0,163753	0,181526	0,269945	0,191994	0,182158	0,159696	0,065196	0,121486	0,180750	0,166187	0,170270	0,139019	0,154786	0,208663	0,166180	0,060805	0,126123	0,191975
0,195088	0,155507	0,165175	0,274183	0,113357	0,225180	0,280960	0,204440	0,161118	0,181305	0,270176	0,193199	0,178902	0,157060	0,276982	0,068024	0,178637	0,163551	0,167001	0,135750	0,151516	0,208727	0,163544	0,272991	0,072657	0,187988
0,192192	0,141085	0,124605	0,275108	0,305509	0,221429	0,277890	0,205881	0,120605	0,181336	0,271101	0,191321	0,171282	0,116605	0,277864	0,276602	0,176238	0,161152	0,155798	0,085760	0,139744	0,204976	0,161145	0,273874	0,276624	0,189429
0,365498	0,344962	0,341533	0,220277	0,331482	0,386618	0,308458	0,376538	0,338062	0,501067	0,215288	0,364896	0,361195	0,334532	0,304806	0,311433	0,352983	0,341007	0,348641	0,324227	0,336026	0,374041	0,340590	0,301076	0,311721	0,363963
0,181765	0,115669	0,315139	0,283106	0,312901	0,219016	0,287493	0,203468	0,315132	0,182174	0,279099	0,188908	0,157949	0,311499	0,281825	0,282386	0,173825	0,122020	0,141896	0,287197	0,101469	0,206900	0,122013	0,281788	0,286144	0,188035
0,365763	0,341817	0,338692	0,330494	0,328641	0,385801	0,231605	0,375721	0,335221	0,497856	0,326680	0,361027	0,357090	0,331691	0,226774	0,308518	0,353247	0,341272	0,349038	0,321311	0,336422	0,373225	0,340855	0,221867	0,308806	0,363147
0,390740	0,362698	0,365567	0,227601	0,354936	0,412419	0,323499	0,402321	0,361895	0,526492	0,222285	0,390094	0,380029	0,358159	0,319575	0,326871	0,377737	0,365316	0,366690	0,340470	0,353287	0,399352	0,364871	0,315575	0,327020	0,389255
0,363410	0,343532	0,335851	0,329656	0,261998	0,384985	0,337913	0,371851	0,332380	0,494644	0,325842	0,361291	0,353946	0,328850	0,334261	0,234027	0,350895	0,338920	0,345887	0,318161	0,333272	0,372408	0,338503	0,330531	0,233195	0,359277
0,360987	0,336681	0,332739	0,243293	0,322688	0,383739	0,237434	0,372236	0,329268	0,487415	0,238613	0,360385	0,353557	0,325738	0,232643	0,299561	0,348471	0,338113	0,341003	0,312355	0,330444	0,371163	0,337695	0,227777	0,302768	0,359661
0,154411	0,297056	0,323887	0,287148	0,320201	0,212904	0,293874	0,194037	0,318688	0,183519	0,287094	0,178956	0,144124	0,318681	0,291372	0,288070	0,137242	0,316836	0,117830	0,292755	0,292898	0,204962	0,312988	0,285692	0,292398	0,186097
0,360344	0,342144	0,272550	0,328818	0,357043	0,381115	0,333808	0,372116	0,268029	0,491433	0,325004	0,358939	0,355660	0,263450	0,333422	0,335697	0,348054	0,336079	0,344816	0,246989	0,332201	0,368539	0,335662	0,329693	0,334683	0,359542
0,390880	0,359296	0,362413	0,347622	0,351782	0,411535	0,239730	0,401437	0,358741	0,522983	0,343543	0,385989	0,375586	0,355006	0,234566	0,323555	0,377877	0,365450	0,366964	0,337155	0,353555	0,398468	0,365005	0,229327	0,323705	0,388371
0,361251	0,338395	0,329898	0,252372	0,267740	0,382923	0,330079	0,368366	0,326427	0,484204	0,247733	0,360650	0,350413	0,322897	0,326426	0,236193	0,348736	0,335760	0,337859	0,309204	0,327294	0,370346	0,335343	0,322696	0,239024	0,355792
0,358185	0,337008	0,278211	0,264214	0,349343	0,379053	0,325974	0,368631	0,273730	0,480993	0,259616	0,358298	0,352127	0,269191	0,325588	0,324944	0,346384	0,332919	0,339573	0,249155	0,326223	0,366477	0,332502	0,321858	0,326849	0,356056
0,355342	0,327383	0,321251	0,525395	0,269831	0,379532	0,260222	0,364975	0,317780	0,474520	0,524427	0,353125	0,333222	0,314250	0,255681	0,238120	0,342827	0,327442	0,331980	0,300403	0,318848	0,366956	0,327025	0,251094	0,240991	0,352401
0,388248	0,360585	0,359260	0,346692	0,270904	0,410651	0,355430	0,397332	0,355587	0,519474	0,342612	0,386129	0,372190	0,351852	0,351505	0,242438	0,375245	0,362818	0,363561	0,333752	0,350152	0,397583	0,362373	0,347505	0,241456	0,384266
0,386031	0,353618	0,356159	0,254457	0,345528	0,409606	0,245847	0,397675	0,352487	0,511750	0,249466	0,385385	0,371721	0,348752	0,240725	0,313852	0,373028	0,362063	0,358383	0,327452	0,346949	0,396539	0,361618	0,235528	0,317320	0,384610
0,352276	0,326312	0,280221	0,522240	0,338948	0,375663	0,267992	0,365240	0,275781	0,471308	0,521273	0,353390	0,344198	0,271282	0,267138	0,314346	0,340475	0,324601	0,333694	0,251081	0,317777	0,363086	0,324184	0,262591	0,316251	0,352666
0,363977	0,273254	0,375481	0,343079	0,370928	0,383326	0,348993	0,374327	0,375063	0,502973	0,339265	0,361150	0,359669	0,371533	0,344417	0,347510	0,350265	0,272010	0,348304	0,359396	0,261290	0,374081	0,270814	0,343954	0,349809	0,362467
0,330786	0,345913	0,330280	0,291850	0,324456	0,201531	0,300353	0,182143	0,327976	0,181324	0,286153	0,152853	0,134519	0,322778	0,298421	0,294369	0,323093	0,322551	0,299372	0,298885	0,298860	0,196129	0,322119	0,295907	0,298697	0,176742
0,384978	0,358532	0,282310	0,345761	0,381837	0,406546	0,350981	0,397472	0,277429	0,515965	0,341682	0,383497	0,373479	0,272486	0,350575	0,353050	0,372092	0,359664	0,361838	0,256315	0,348428	0,393479	0,359219	0,346575	0,351794	0,384406
0,344036	0,316658	0,282014	0,510337	0,298126	0,372350	0,511840	0,357793	0,277614	0,461616	0,509369	0,347559	0,333286	0,273156	0,511810	0,263624	0,332235	0,316032	0,322763	0,237770	0,306903	0,359773	0,315614	0,510867	0,266715	0,345218
0,386165	0,354907	0,353006	0,263976	0,276908	0,408722	0,347182	0,393571	0,349334	0,508242	0,259027	0,385525	0,368325	0,345598	0,343258	0,244451	0,373162	0,359430	0,354980	0,324049	0,343546	0,395654	0,358985	0,339258	0,247573	0,380505
0,298817	0,371873	0,375883	0,339830	0,370551	0,384788	0,346750	0,373171	0,371633	0,499762	0,339283	0,359506	0,357760	0,371156	0,344965	0,344747	0,283907	0,369400	0,274243	0,356632	0,363727	0,371014	0,367858	0,340311	0,347566	0,359400
0,362344	0,275975	0,367840	0,288652	0,363228	0,381790	0,341159	0,370879	0,367422	0,492572	0,284094	0,360546	0,356176	0,363892	0,336582	0,336757	0,348632	0,277813	0,343622	0,348701	0,263604	0,372545	0,276657	0,336119	0,341974	0,359019
0,379717	0,343071	0,343749	0,557545	0,278816	0,405057	0,272302	0,389906	0,340077	0,497716	0,556555	0,377615	0,349918	0,336342	0,267442	0,246217	0,366715	0,350510	0,348476	0,314508	0,334373	0,391990	0,350065	0,262539	0,249381	0,376840
0,392129	0,277280	0,376375	0,339916	0,369828	0,384150	0,347147	0,372045	0,374742	0,498801	0,335178	0,294350	0,285602	0,370433	0,345883	0,345143	0,380467	0,369404	0,375497	0,356635	0,363731	0,370679	0,370967	0,344021	0,347570	0,358576
