43s	92s	73s	65o	Q2o	J4o	83s	75o	52s	85o	82s	T5o	95o	J3o	62s	54o	42s	T4o	J2o	72s	64o	T3o	32s	74o	84o	T2o
0,190410	0,160441	0,176876	0,186922	0,111384	0,124613	0,164491	0,170740	0,178032	0,157591	0,164484	0,129026	0,140059	0,120194	0,175633	0,171859	0,173956	0,128988	0,115759	0,160424	0,169356	0,124569	0,169875	0,153175	0,140026	0,120133
0,204645	0,164354	0,179648	0,186864	0,111457	0,124687	0,163213	0,173717	0,192267	0,156186	0,163206	0,129099	0,144296	0,120268	0,175579	0,187094	0,188191	0,129062	0,115832	0,163197	0,169299	0,124643	0,184110	0,156152	0,138621	0,120207
0,204590	0,162122	0,175543	0,186796	0,056403	0,121716	0,164299	0,169268	0,192212	0,157379	0,164292	0,126128	0,141895	0,117297	0,175524	0,187026	0,188136	0,126091	0,112861	0,159092	0,169231	0,121672	0,184055	0,151703	0,139814	0,117236
0,204653	0,159487	0,176747	0,182473	0,268984	0,068274	0,162185	0,170587	0,192275	0,155104	0,162178	0,123284	0,139050	0,063883	0,171537	0,187084	0,188200	0,123246	0,059481	0,160296	0,164907	0,118827	0,184118	0,153022	0,137539	0,114391
0,204953	0,157088	0,174870	0,179468	0,269867	0,276599	0,159786	0,167571	0,188525	0,152087	0,159779	0,071782	0,136033	0,272608	0,172978	0,183014	0,188500	0,071762	0,268601	0,158419	0,166479	0,067371	0,184418	0,150999	0,134947	0,062969
0,370547	0,337060	0,352322	0,360829	0,297262	0,308069	0,340408	0,348692	0,361408	0,336138	0,339932	0,311724	0,323523	0,304339	0,351330	0,358418	0,357910	0,311332	0,300525	0,339689	0,347646	0,307603	0,354344	0,335510	0,322956	0,303789
0,201686	0,118013	0,172954	0,172368	0,277781	0,280476	0,157870	0,156888	0,190449	0,140835	0,157863	0,283318	0,087507	0,280438	0,171584	0,180529	0,185232	0,279095	0,276431	0,156503	0,163982	0,279057	0,185201	0,148502	0,132449	0,275050
0,369730	0,337325	0,348452	0,359991	0,216878	0,305153	0,340673	0,344587	0,360592	0,336535	0,340197	0,308809	0,323919	0,301423	0,350513	0,357580	0,357094	0,308417	0,297610	0,335819	0,346808	0,304687	0,353527	0,331405	0,323352	0,300873
0,395664	0,361135	0,377028	0,379655	0,311495	0,323096	0,364671	0,366588	0,386223	0,353250	0,364163	0,327029	0,339846	0,319096	0,376126	0,376516	0,382533	0,326617	0,315016	0,363899	0,365652	0,322617	0,378773	0,352586	0,339247	0,318537
0,368914	0,334973	0,348717	0,355886	0,326717	0,228364	0,338321	0,344984	0,359775	0,334140	0,337844	0,305893	0,321525	0,223457	0,346644	0,356742	0,356277	0,305501	0,218468	0,336084	0,342703	0,301771	0,352711	0,331801	0,320958	0,297957
0,367668	0,334165	0,347811	0,356464	0,222829	0,299116	0,335897	0,343974	0,358530	0,331420	0,335421	0,302771	0,320861	0,295386	0,347028	0,355399	0,355032	0,302379	0,291572	0,335178	0,343282	0,298649	0,351465	0,330791	0,318237	0,294835
0,199748	0,312981	0,171016	0,159542	0,285638	0,289896	0,120072	0,143492	0,189530	0,103910	0,120065	0,288877	0,289020	0,284216	0,170143	0,173935	0,187631	0,288389	0,284162	0,155062	0,153806	0,282708	0,182409	0,137756	0,085295	0,282654
0,368097	0,332132	0,346365	0,352741	0,325879	0,334297	0,335480	0,341833	0,355905	0,330990	0,335003	0,231140	0,318375	0,330567	0,346908	0,352637	0,355461	0,229954	0,326754	0,333731	0,343100	0,225047	0,351894	0,329407	0,318042	0,220058
0,394780	0,361270	0,372923	0,378731	0,224011	0,319780	0,364811	0,362146	0,385339	0,353523	0,364303	0,323714	0,340114	0,315780	0,375242	0,375592	0,381648	0,323301	0,311701	0,359794	0,364728	0,319301	0,377889	0,348143	0,339520	0,315222
0,366852	0,331813	0,348076	0,352359	0,318883	0,234233	0,336162	0,344370	0,357713	0,331816	0,335685	0,299855	0,318466	0,229367	0,343158	0,354561	0,354215	0,299463	0,224419	0,335442	0,339177	0,295733	0,350649	0,331188	0,318634	0,291920
0,366035	0,328972	0,345723	0,349215	0,318044	0,326463	0,333810	0,341220	0,353843	0,328666	0,333333	0,236969	0,315316	0,322733	0,343423	0,350456	0,353399	0,235823	0,318919	0,333090	0,339573	0,230957	0,349832	0,328793	0,316239	0,226009
0,363461	0,323495	0,340551	0,348925	0,246455	0,236242	0,330253	0,336435	0,354322	0,325937	0,329776	0,291055	0,310020	0,231416	0,339767	0,351127	0,350824	0,290663	0,226510	0,327917	0,335743	0,286933	0,347258	0,323252	0,312755	0,283119
0,393895	0,358637	0,373063	0,374288	0,343426	0,236292	0,362179	0,362419	0,384455	0,350777	0,361671	0,320399	0,337368	0,231054	0,371137	0,374667	0,380764	0,319986	0,225738	0,359934	0,360285	0,315986	0,377005	0,348416	0,336775	0,311907
0,392851	0,357882	0,372319	0,374872	0,230254	0,313396	0,359962	0,361599	0,383410	0,348260	0,359454	0,317329	0,336827	0,309396	0,371481	0,373740	0,379719	0,316917	0,305316	0,359190	0,360869	0,312917	0,375960	0,347596	0,334257	0,308837
0,362645	0,320654	0,340815	0,345781	0,257993	0,315866	0,327901	0,333291	0,350453	0,322787	0,327424	0,238936	0,306870	0,312136	0,340032	0,347022	0,350008	0,237832	0,308322	0,328182	0,336139	0,233007	0,346442	0,323649	0,310360	0,228100
0,369505	0,266235	0,348801	0,359852	0,340140	0,345233	0,337916	0,346159	0,361447	0,334795	0,337440	0,347683	0,245450	0,344769	0,349833	0,354889	0,356868	0,345989	0,340956	0,336168	0,345346	0,345526	0,356355	0,331653	0,320288	0,341712
0,194233	0,316920	0,135684	0,146354	0,290210	0,296764	0,315399	0,120683	0,188189	0,295494	0,311551	0,295007	0,294982	0,294250	0,168802	0,161745	0,186291	0,295089	0,288553	0,118515	0,141047	0,292575	0,181068	0,102111	0,287369	0,286878
0,393011	0,355484	0,370431	0,370891	0,342495	0,351388	0,359026	0,359016	0,380350	0,347375	0,358518	0,239240	0,333965	0,347388	0,371277	0,370224	0,379880	0,238018	0,343309	0,357302	0,360559	0,232780	0,376121	0,345671	0,333459	0,227464
0,359332	0,312084	0,334984	0,328671	0,509899	0,265860	0,319660	0,327493	0,347140	0,314422	0,319184	0,240682	0,298150	0,261314	0,332585	0,343669	0,346695	0,239619	0,256716	0,322351	0,328285	0,234834	0,343129	0,317851	0,301995	0,229968
0,391966	0,355250	0,372459	0,370429	0,335179	0,242451	0,360096	0,361872	0,382525	0,348527	0,359588	0,314014	0,334081	0,237254	0,367376	0,372816	0,378835	0,313602	0,231980	0,359330	0,356426	0,309602	0,375076	0,347869	0,334525	0,305522
0,366438	0,367381	0,345735	0,358465	0,339764	0,345781	0,268939	0,344250	0,359095	0,258402	0,267685	0,344919	0,352015	0,341127	0,346992	0,356603	0,357133	0,346538	0,340580	0,333327	0,344275	0,341884	0,352485	0,330061	0,242208	0,341337
0,367969	0,272118	0,348197	0,356365	0,332305	0,337398	0,336283	0,345585	0,359911	0,333031	0,335807	0,339908	0,251425	0,336935	0,346385	0,353269	0,355332	0,338214	0,333121	0,335564	0,341859	0,337751	0,354819	0,331079	0,318525	0,333937
0,388302	0,346330	0,364550	0,366665	0,257590	0,244300	0,353649	0,353392	0,378861	0,342023	0,353141	0,304473	0,324908	0,239145	0,363711	0,369052	0,375171	0,304061	0,233912	0,351421	0,352662	0,300061	0,371411	0,339390	0,328021	0,295981
0,368720	0,366658	0,279382	0,357397	0,339283	0,346306	0,368745	0,269762	0,356849	0,363784	0,367144	0,344923	0,352018	0,344443	0,344746	0,356057	0,354886	0,347062	0,339705	0,264357	0,343208	0,345200	0,350239	0,253567	0,351392	0,340462
0,391082	0,352096	0,369827	0,367032	0,334248	0,343141	0,357464	0,358469	0,378420	0,345125	0,356956	0,245357	0,330678	0,339141	0,367516	0,368373	0,377951	0,244177	0,335062	0,356698	0,356700	0,238980	0,374192	0,345124	0,331779	0,233706
0,364633	0,274334	0,343832	0,352989	0,281233	0,326801	0,330429	0,340498	0,356575	0,327210	0,329952	0,329310	0,253522	0,326338	0,343049	0,349892	0,351996	0,327617	0,322524	0,331199	0,338482	0,327153	0,351483	0,325992	0,312703	0,323340
0,355299	0,363310	0,369693	0,292039	0,330415	0,336327	0,361744	0,277850	0,278178	0,266795	0,363796	0,241914	0,252034	0,334985	0,366204	0,268768	0,341768	0,340313	0,333619	0,357971	0,361422	0,338972	0,340226	0,352688	0,344249	0,337606
0,183581	0,326556	0,321732	0,137789	0,295404	0,303694	0,321422	0,302047	0,179555	0,301780	0,320990	0,301714	0,301479	0,301750	0,134518	0,149326	0,178178	0,301796	0,299219	0,314039	0,119300	0,299851	0,176274	0,293923	0,293656	0,297321
0,371050	0,372277	0,379103	0,284729	0,341935	0,349159	0,371154	0,374682	0,358690	0,366244	0,372763	0,347776	0,354478	0,347818	0,278208	0,358027	0,357216	0,349522	0,345981	0,367020	0,268534	0,348181	0,355291	0,362290	0,353852	0,346344
0,387418	0,343176	0,364684	0,363268	0,269786	0,331737	0,351016	0,349990	0,374756	0,338620	0,350508	0,247164	0,321505	0,327737	0,363852	0,364609	0,374287	0,246026	0,323658	0,351555	0,352936	0,240871	0,370527	0,339657	0,325275	0,235638
0,361868	0,277637	0,338549	0,345722	0,523985	0,284826	0,322737	0,335281	0,353810	0,319426	0,322260	0,319476	0,256778	0,283966	0,338767	0,347121	0,349231	0,317783	0,279409	0,325916	0,331215	0,317319	0,348718	0,320775	0,304919	0,313506
0,394568	0,275600	0,372940	0,378052	0,357813	0,363125	0,361534	0,363164	0,386152	0,350953	0,361026	0,365630	0,254640	0,362643	0,374307	0,372699	0,381437	0,363812	0,358564	0,359811	0,363027	0,363331	0,380898	0,348139	0,335928	0,359251
0,359562	0,281819	0,331316	0,335877	0,512145	0,512930	0,315270	0,325417	0,347370	0,309719	0,314793	0,284362	0,245956	0,512881	0,333943	0,331077	0,346925	0,283548	0,511913	0,318682	0,326484	0,282688	0,346412	0,313477	0,297368	0,278131
0,291582	0,366844	0,372843	0,405768	0,331260	0,238360	0,365278	0,397034	0,378051	0,390786	0,366946	0,372543	0,383342	0,335831	0,369354	0,276808	0,276690	0,241878	0,334464	0,361121	0,279049	0,338976	0,341049	0,264860	0,253806	0,337610
0,369412	0,374058	0,349641	0,359588	0,343337	0,349354	0,275931	0,348286	0,362069	0,265537	0,274717	0,348492	0,359010	0,344700	0,348054	0,359593	0,360106	0,350111	0,344153	0,337233	0,345398	0,345457	0,355459	0,334097	0,249384	0,344910
0,383833	0,333999	0,358316	0,344945	0,540878	0,278118	0,342175	0,343568	0,371171	0,329531	0,341667	0,248743	0,312047	0,273257	0,356021	0,360928	0,370702	0,247646	0,268350	0,345187	0,344539	0,242533	0,366942	0,333236	0,316185	0,237342
0,370874	0,370523	0,287825	0,357679	0,340089	0,347111	0,368778	0,278487	0,359002	0,363712	0,367176	0,345728	0,356136	0,345249	0,344988	0,358205	0,357040	0,347868	0,340511	0,272840	0,343489	0,346005	0,352393	0,262333	0,351319	0,341268
0,391299	0,392809	0,369670	0,376000	0,357537	0,363723	0,278505	0,360543	0,383521	0,268509	0,277182	0,362639	0,369923	0,358848	0,371155	0,373990	0,381579	0,364410	0,358287	0,356658	0,361305	0,359536	0,376795	0,345847	0,251203	0,358974
0,300013	0,366847	0,293273	0,411671	0,332105	0,372492	0,283128	0,402937	0,381201	0,398821	0,370480	0,376088	0,383352	0,236709	0,372888	0,407991	0,377644	0,375637	0,335310	0,364655	0,399052	0,240227	0,275191	0,390317	0,386201	0,338455
0,366113	0,364106	0,345313	0,356250	0,310249	0,338757	0,278249	0,343760	0,358770	0,267781	0,277075	0,337895	0,348883	0,334103	0,344755	0,356256	0,356808	0,339513	0,333556	0,332905	0,342061	0,334860	0,352160	0,329571	0,251668	0,334312
0,393200	0,281759	0,372375	0,374235	0,349566	0,354878	0,360012	0,362659	0,384783	0,349314	0,359504	0,357445	0,260918	0,354396	0,370585	0,371459	0,380069	0,355628	0,350317	0,359246	0,359210	0,355146	0,379530	0,347634	0,334289	0,351067
0,424608	0,280045	0,414085	0,419706	0,231448	0,376037	0,402439	0,410972	0,291943	0,398831	0,283128	0,379633	0,386896	0,372307	0,294479	0,413500	0,288111	0,379182	0,235026	0,281375	0,407087	0,375452	0,284266	0,398352	0,386211	0,238543
