94o	53o	93o	63o	43o	92o	73o	83o	52o	82o	42o	62o	72o	32o
0,122493	0,154281	0,122443	0,151779	0,149874	0,118008	0,135598	0,122448	0,136687	0,122382	0,132280	0,134185	0,118004	0,127861
0,126731	0,169516	0,126681	0,151721	0,165109	0,122246	0,138575	0,121043	0,151922	0,120977	0,147515	0,134127	0,120981	0,143096
0,124330	0,169449	0,124280	0,151653	0,165042	0,119844	0,134125	0,122237	0,151855	0,122170	0,147448	0,134059	0,116531	0,143028
0,121485	0,169507	0,121435	0,147330	0,165100	0,116999	0,135445	0,119962	0,151913	0,119895	0,147506	0,129736	0,117851	0,143087
0,118892	0,165436	0,118843	0,148902	0,165411	0,114407	0,133422	0,117369	0,147842	0,117303	0,147817	0,131308	0,115828	0,143398
0,310340	0,345158	0,309871	0,334386	0,341446	0,306057	0,322250	0,309696	0,331814	0,309142	0,328102	0,321042	0,308906	0,324313
0,068876	0,167527	0,068848	0,147399	0,161860	0,064446	0,131349	0,115296	0,149934	0,115230	0,144266	0,129805	0,113755	0,144228
0,310737	0,344320	0,310268	0,333548	0,340608	0,306454	0,318145	0,310092	0,330976	0,309539	0,327264	0,320204	0,304801	0,323475
0,325844	0,362438	0,325356	0,351574	0,358450	0,321276	0,338507	0,325169	0,348280	0,324601	0,344293	0,337417	0,324350	0,340230
0,308343	0,343482	0,307873	0,329443	0,339770	0,304059	0,318541	0,307698	0,330138	0,307145	0,326426	0,316099	0,305197	0,322637
0,307678	0,342139	0,307209	0,330022	0,338427	0,303395	0,317531	0,304977	0,328795	0,304424	0,325083	0,316678	0,304187	0,321294
0,280895	0,165537	0,276659	0,145408	0,159881	0,276605	0,129358	0,066656	0,148937	0,066617	0,146863	0,128238	0,112188	0,141183
0,305427	0,339377	0,304957	0,329840	0,338932	0,301144	0,316147	0,304782	0,326033	0,304229	0,325588	0,316496	0,302803	0,321799
0,326111	0,361513	0,325623	0,350650	0,357526	0,321544	0,334065	0,325442	0,347356	0,324875	0,343368	0,336492	0,319907	0,339305
0,305284	0,341301	0,304814	0,325917	0,337589	0,301001	0,317928	0,305374	0,327957	0,304820	0,324245	0,312573	0,304584	0,320456
